Dataset,Weights,Image Size,Threshold,FileName,F1_Value,Precision_Value
1,ASL_320_16_nano.pt,160,0.85,exp303,0.959226681,0.933329033
,,,,,,
2,ASL_320_16_nano.pt,160,0.85,exp304,0.980221907,0.964111763
,,,,,,
1,ASL_64_16_nano.pt,320,0.85,exp305,0.996504312,0.993576243
,,,,,,
2,ASL_64_16_nano.pt,320,0.85,exp306,0.979045455,0.96388596
,,,,,,
1,ASL_128_16_nano.pt,320,0.85,exp307,0.992164986,0.985747734
,,,,,,
2,ASL_128_16_nano.pt,320,0.85,exp308,0.99592939,0.99214639
,,,,,,
1,ASL_160_16_nano.pt,320,0.85,exp309,0.994374837,0.9901318
,,,,,,
2,ASL_160_16_nano.pt,320,0.85,exp310,0.997301231,0.994978261
,,,,,,
1,ASL_320_16_nano.pt,320,0.85,exp311,0.973685381,0.957601444
,,,,,,
2,ASL_320_16_nano.pt,320,0.85,exp312,0.974901121,0.957935297
,,,,,,
1,ASL_64_16_nano.pt,640,0.85,exp313,0.984237091,0.974106093
,,,,,,
2,ASL_64_16_nano.pt,640,0.85,exp314,0.969991924,0.950487704
,,,,,,
1,ASL_128_16_nano.pt,640,0.85,exp315,1,1
,,,,,,
2,ASL_128_16_nano.pt,640,0.85,exp316,0.998568303,0.997244105
,,,,,,
1,ASL_160_16_nano.pt,640,0.85,exp317,1,1
,,,,,,
2,ASL_160_16_nano.pt,640,0.85,exp318,1,1
,,,,,,
1,ASL_320_16_nano.pt,640,0.85,exp319,0.99008546,0.982385015
,,,,,,
2,ASL_320_16_nano.pt,640,0.85,exp320,1,1
,,,,,,
1,ASL_64_16_nano.pt,64,0.9,exp321,1,1
,,,,,,
2,ASL_64_16_nano.pt,64,0.9,exp322,0.996469257,0.993260042
,,,,,,
1,ASL_128_16_nano.pt,64,0.9,exp323,1,1
,,,,,,
2,ASL_128_16_nano.pt,64,0.9,exp324,0.99889335,0.997850683
,,,,,,
1,ASL_160_16_nano.pt,64,0.9,exp325,1,1
,,,,,,
2,ASL_160_16_nano.pt,64,0.9,exp326,0.994806508,0.990087887
,,,,,,
1,ASL_320_16_nano.pt,64,0.9,exp327,1,1
,,,,,,
2,ASL_320_16_nano.pt,64,0.9,exp328,1,1
,,,,,,
1,ASL_64_16_nano.pt,128,0.9,exp329,0.982599488,0.969861173
,,,,,,
2,ASL_64_16_nano.pt,128,0.9,exp330,0.990044069,0.981427141
,,,,,,
1,ASL_128_16_nano.pt,128,0.9,exp331,0.995556916,0.991991203
,,,,,,
2,ASL_128_16_nano.pt,128,0.9,exp332,0.997273374,0.994740402
,,,,,,
1,ASL_160_16_nano.pt,128,0.9,exp333,0.994330451,0.990057434
,,,,,,
2,ASL_160_16_nano.pt,128,0.9,exp334,0.998410314,0.996950912
,,,,,,
1,ASL_320_16_nano.pt,128,0.9,exp335,0.995552579,0.991983661
,,,,,,
2,ASL_320_16_nano.pt,128,0.9,exp336,0.994886462,0.990457204
,,,,,,
1,ASL_64_16_nano.pt,160,0.9,exp337,0.994230524,0.989890009
,,,,,,
2,ASL_64_16_nano.pt,160,0.9,exp338,0.995786106,0.991878871
,,,,,,
1,ASL_128_16_nano.pt,160,0.9,exp339,0.994329147,0.990055247
,,,,,,
2,ASL_128_16_nano.pt,160,0.9,exp340,0.998738465,0.997559648
,,,,,,
1,ASL_160_16_nano.pt,160,0.9,exp341,0.99207053,0.986746093
,,,,,,
2,ASL_160_16_nano.pt,160,0.9,exp342,0.994900782,0.990653371
,,,,,,
1,ASL_320_16_nano.pt,160,0.9,exp343,0.97966275,0.965433417
,,,,,,
2,ASL_320_16_nano.pt,160,0.9,exp344,1,1
,,,,,,
1,ASL_64_16_nano.pt,320,0.9,exp345,1,1
,,,,,,
2,ASL_64_16_nano.pt,320,0.9,exp346,0.988681127,0.979319685
,,,,,,
1,ASL_128_16_nano.pt,320,0.9,exp347,1,1
,,,,,,
2,ASL_128_16_nano.pt,320,0.9,exp348,0.998722669,0.997529451
,,,,,,
1,ASL_160_16_nano.pt,320,0.9,exp349,1,1
,,,,,,
2,ASL_160_16_nano.pt,320,0.9,exp350,1,1
,,,,,,
1,ASL_320_16_nano.pt,320,0.9,exp351,1,1
,,,,,,
2,ASL_320_16_nano.pt,320,0.9,exp352,0.98793297,0.979912798
,,,,,,
1,ASL_64_16_nano.pt,640,0.9,exp353,1,1
,,,,,,
2,ASL_64_16_nano.pt,640,0.9,exp354,0.995761836,0.992023721
,,,,,,
1,ASL_128_16_nano.pt,640,0.9,exp355,1,1
,,,,,,
2,ASL_128_16_nano.pt,640,0.9,exp356,1,1
,,,,,,
1,ASL_160_16_nano.pt,640,0.9,exp357,1,1
,,,,,,
2,ASL_160_16_nano.pt,640,0.9,exp358,1,1
,,,,,,
1,ASL_320_16_nano.pt,640,0.9,exp359,1,1
,,,,,,
2,ASL_320_16_nano.pt,640,0.9,exp360,1,1
,,,,,,
1,ASL_64_16_nano.pt,64,0.95,exp361,1,1
,,,,,,
2,ASL_64_16_nano.pt,64,0.95,exp362,1,1
,,,,,,
1,ASL_128_16_nano.pt,64,0.95,exp363,1,1
,,,,,,
2,ASL_128_16_nano.pt,64,0.95,exp364,1,1
,,,,,,
1,ASL_160_16_nano.pt,64,0.95,exp365,1,1
,,,,,,
2,ASL_160_16_nano.pt,64,0.95,exp366,1,1
,,,,,,
1,ASL_320_16_nano.pt,64,0.95,exp367,1,1
,,,,,,
2,ASL_320_16_nano.pt,64,0.95,exp368,1,1
,,,,,,
1,ASL_64_16_nano.pt,128,0.95,exp369,1,1
,,,,,,
2,ASL_64_16_nano.pt,128,0.95,exp370,0.996992888,0.994215398
,,,,,,
1,ASL_128_16_nano.pt,128,0.95,exp371,1,1
,,,,,,
2,ASL_128_16_nano.pt,128,0.95,exp372,1,1
,,,,,,
1,ASL_160_16_nano.pt,128,0.95,exp373,1,1
,,,,,,
2,ASL_160_16_nano.pt,128,0.95,exp374,1,1
,,,,,,
1,ASL_320_16_nano.pt,128,0.95,exp375,1,1
,,,,,,
2,ASL_320_16_nano.pt,128,0.95,exp376,1,1
,,,,,,
1,ASL_64_16_nano.pt,160,0.95,exp377,1,1
,,,,,,
2,ASL_64_16_nano.pt,160,0.95,exp378,1,1
,,,,,,
1,ASL_128_16_nano.pt,160,0.95,exp379,1,1
,,,,,,
2,ASL_128_16_nano.pt,160,0.95,exp380,1,1
,,,,,,
1,ASL_160_16_nano.pt,160,0.95,exp381,1,1
,,,,,,
2,ASL_160_16_nano.pt,160,0.95,exp382,1,1
,,,,,,
1,ASL_320_16_nano.pt,160,0.95,exp383,1,1
,,,,,,
2,ASL_320_16_nano.pt,160,0.95,exp384,1,1
,,,,,,
1,ASL_64_16_nano.pt,320,0.95,exp385,1,1
,,,,,,
2,ASL_64_16_nano.pt,320,0.95,exp386,1,1
,,,,,,
1,ASL_128_16_nano.pt,320,0.95,exp387,1,1
,,,,,,
2,ASL_128_16_nano.pt,320,0.95,exp388,1,1
,,,,,,
1,ASL_160_16_nano.pt,320,0.95,exp389,1,1
,,,,,,
2,ASL_160_16_nano.pt,320,0.95,exp390,1,1
,,,,,,
1,ASL_320_16_nano.pt,320,0.95,exp391,1,1
,,,,,,
2,ASL_320_16_nano.pt,320,0.95,exp392,1,1
,,,,,,
1,ASL_64_16_nano.pt,640,0.95,exp393,1,1
,,,,,,
2,ASL_64_16_nano.pt,640,0.95,exp394,1,1
,,,,,,
1,ASL_128_16_nano.pt,640,0.95,exp395,1,1
,,,,,,
2,ASL_128_16_nano.pt,640,0.95,exp396,1,1
,,,,,,
1,ASL_160_16_nano.pt,640,0.95,exp397,1,1
,,,,,,
2,ASL_160_16_nano.pt,640,0.95,exp398,1,1
,,,,,,
1,ASL_320_16_nano.pt,640,0.95,exp399,1,1
,,,,,,
2,ASL_320_16_nano.pt,640,0.95,exp400,1,1
