Dataset,Weights,Image Size,Threshold,FileName,F1_Value,Precision_Value
1,ASL_320_16_nano.pt,320,0.55,exp71,0.941966395,0.904615228
,,,,,,
2,ASL_320_16_nano.pt,320,0.55,exp72,0.932929912,0.89189028
,,,,,,
1,ASL_64_16_nano.pt,640,0.55,exp73,0.770726539,0.709442756
,,,,,,
2,ASL_64_16_nano.pt,640,0.55,exp74,0.797872482,0.747073164
,,,,,,
1,ASL_128_16_nano.pt,640,0.55,exp75,0.920781392,0.885420819
,,,,,,
2,ASL_128_16_nano.pt,640,0.55,exp76,0.931768427,0.898067623
,,,,,,
1,ASL_160_16_nano.pt,640,0.55,exp77,0.965902029,0.947835738
,,,,,,
2,ASL_160_16_nano.pt,640,0.55,exp78,0.953377017,0.922234669
,,,,,,
1,ASL_320_16_nano.pt,640,0.55,exp79,0.953828943,0.92516114
,,,,,,
2,ASL_320_16_nano.pt,640,0.55,exp80,0.976027021,0.957436472
,,,,,,
1,ASL_64_16_nano.pt,64,0.6,exp81,0.937093962,0.900674111
,,,,,,
2,ASL_64_16_nano.pt,64,0.6,exp82,0.885394312,0.813827425
,,,,,,
1,ASL_128_16_nano.pt,64,0.6,exp83,0.946594318,0.909276385
,,,,,,
2,ASL_128_16_nano.pt,64,0.6,exp84,0.926022525,0.876915769
,,,,,,
1,ASL_160_16_nano.pt,64,0.6,exp85,0.888092331,0.818921537
,,,,,,
2,ASL_160_16_nano.pt,64,0.6,exp86,0.900147002,0.834837927
,,,,,,
1,ASL_320_16_nano.pt,64,0.6,exp87,0.949856185,0.920924769
,,,,,,
2,ASL_320_16_nano.pt,64,0.6,exp88,0.961963015,0.943758336
,,,,,,
1,ASL_64_16_nano.pt,128,0.6,exp89,0.863250451,0.799252954
,,,,,,
2,ASL_64_16_nano.pt,128,0.6,exp90,0.853537532,0.781381044
,,,,,,
1,ASL_128_16_nano.pt,128,0.6,exp91,0.957763683,0.927797982
,,,,,,
2,ASL_128_16_nano.pt,128,0.6,exp92,0.9124928,0.853255871
,,,,,,
1,ASL_160_16_nano.pt,128,0.6,exp93,0.946021416,0.913464955
,,,,,,
2,ASL_160_16_nano.pt,128,0.6,exp94,0.938666719,0.899497956
,,,,,,
1,ASL_320_16_nano.pt,128,0.6,exp95,0.902164894,0.837996118
,,,,,,
2,ASL_320_16_nano.pt,128,0.6,exp96,0.939375433,0.89801325
,,,,,,
1,ASL_64_16_nano.pt,160,0.6,exp97,0.879575418,0.820821842
,,,,,,
2,ASL_64_16_nano.pt,160,0.6,exp98,0.871864909,0.809353684
,,,,,,
1,ASL_128_16_nano.pt,160,0.6,exp99,0.932997035,0.888927759
,,,,,,
2,ASL_128_16_nano.pt,160,0.6,exp100,0.900812054,0.83994627
,,,,,,
1,ASL_160_16_nano.pt,160,0.6,exp101,0.96810477,0.945985002
,,,,,,
2,ASL_160_16_nano.pt,160,0.6,exp102,0.935708579,0.898495507
,,,,,,
1,ASL_320_16_nano.pt,160,0.6,exp103,0.934942431,0.891680652
,,,,,,
